gene,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches
DOCK5,True,1.1563663098324226,2.103063092706707,1.4952158,7
CLU,True,0.05186142652794936,1.6379398903896174,1.4373702,6
AC021678.2,True,0.035798244606211296,1.441523823660801,0.9197426,3
DUSP4,True,0.07328002996793201,1.601226908234882,1.3784907,7
AC009563.1,True,0.014862245694954025,1.3292275856346412,0.6472882,3
NRG1,True,0.4523104443083543,2.3007989518916783,3.0080774,10
AC090204.1,True,0.05872007223530873,1.5791538640670595,1.3326964,4
FUT10,True,0.11182074204324619,1.4533478096448573,0.98666006,3
AF279873.3,True,0.010953915462125388,1.4936572213582855,1.0784155,4
AC090993.1,True,0.0025388093438636185,1.210673784598648,0.6255297,3
UNC5D,True,0.010920769158714047,1.3370929963179545,0.6584752,3
ADAM18,True,0.011193616587473974,1.4317529785679084,0.9110533,4
AC105999.1,True,0.0017205590629834513,1.3958211678213999,0.73120177,3
ZMAT4,True,0.07276248585029185,2.451963272322587,3.8459961,10
ANK1,True,0.05304739032573726,1.476489902528849,1.0347551,5
AP3M2,True,0.49069192321480076,1.6720732691950204,1.0141076,3
PXDNL,True,0.11121588358799368,1.6498078193143744,1.5293638,7
ST18,True,0.02977331841229152,1.5045520107236947,1.0919936,4
LYN,True,2.440098630166094,2.9898110081258285,1.5221553,7
PLAG1,True,0.15787204629077606,1.566005491529113,1.2321981,6
TOX,True,1.1036712730730465,2.8342661707788857,3.911051,10
CA8,True,0.013877880719801733,1.4798643513298013,1.0140147,4
LINC01301,True,0.027899766482573567,1.3665792780320476,0.73753136,3
CLVS1,True,0.05684221493047129,1.8442765991065726,2.079501,9
LINC02842,True,0.005054796900046518,1.543189412519243,1.1345938,3
AC011124.1,True,0.0015530020631980548,1.3505870780218567,0.6049607,4
CYP7B1,True,0.026794407771234097,1.7233892209539643,1.7251008,8
AC009879.4,True,0.07230333906346359,1.5247169923036246,1.1785035,6
MYBL1,True,0.9897822701286639,2.255523303270789,2.2328007,10
MCMDC2,True,0.014528938423123855,1.4640383876156093,1.0151867,3
CPA6,True,0.029943446847931477,1.4596984688678658,0.98897225,3
SLCO5A1,True,0.037209547823000885,1.8473581263669512,2.0841515,9
XKR9,True,0.05606937130196765,1.6767573210876434,1.5909493,9
MSC-AS1,True,0.24500372089453948,2.1223129483717784,2.8258276,9
TRPA1,True,0.013068019619147683,1.499513426439999,1.0644033,3
AC111149.1,True,0.000509055340680772,0.8534871384505631,0.7125267,4
AC027018.1,True,0.1759085576934667,1.4325917254097273,0.9260746,5
GDAP1,True,0.2046527971902635,1.7178424785200765,1.6704024,8
MIR2052HG,True,0.01771281232452645,1.9250239338495683,2.300179,10
AC011029.1,True,0.0027127531988087455,1.393869293869448,0.77876407,3
PKIA-AS1,True,0.253110740578285,2.1344024233242345,2.7557888,10
PKIA,True,0.4792906788224638,2.01465499164322,2.2386022,10
IL7,True,0.18016369381067426,1.752708886937866,1.7598596,8
AC083837.1,True,0.10750459609056469,1.9578869140543056,2.3537445,10
TPD52,True,0.5564535459478204,1.945846231590607,1.7954457,7
ZNF704,True,0.04330894166942673,1.7911333423174516,1.937575,9
PAG1,True,1.7390019270219401,2.232513009619557,1.0168585,3
CA3,True,0.04160953393791356,1.6202624477388756,1.4318498,7
AC090572.3,True,0.001471826361350529,1.220764479710065,0.7077761,4
CNBD1,True,0.012454962560957137,1.3519184834237628,0.6876796,4
RIPK2,True,0.8343813829641574,1.868168530100424,1.2569695,6
AC004083.1,True,0.0356126405764567,1.508319548909594,1.099448,5
LINC00534,True,0.06825761629268905,1.866016174297571,2.1262202,7
LRRC69,True,0.22231303542168263,1.5155038605343554,1.0777506,4
SLC26A7,True,0.025426939317455932,1.6146206025676357,1.4287927,7
LINC00535,True,0.018406769011399413,1.4555673481396159,0.9935659,4
CDH17,True,0.00669346938462013,1.3084054970559509,0.5472579,3
C8orf37-AS1,True,0.1701984169660383,1.9292842229218334,2.3500254,10
SDC2,True,0.4476619311161401,2.274102136727395,2.9407973,9
NIPAL2,True,0.178548148722037,1.5435151258310726,1.1193713,5
STK3,True,0.7844252882177254,1.7358697728920585,0.94312143,3
NCALD,True,1.233027086304945,2.5703868995432475,2.7633488,10
AZIN1-AS1,True,0.22507218532357331,1.740908941417149,1.826669,10
BAALC-AS1,True,0.020157927625846127,1.5498349961793645,1.2413366,5
RIMS2,True,0.025883554269448338,1.805919221517754,1.9201791,9
LRP12,True,0.07934508381914537,1.5683970059324888,1.3032366,5
AC090579.1,True,0.046862844507188875,1.7184437786549942,1.7361611,8
ANGPT1,True,0.082154846696995,1.716880667396277,1.7016135,8
AC104248.1,True,0.0076518411448823365,1.7399167106438402,1.7946978,6
PKHD1L1,True,0.01710274825405216,1.6924177653746042,1.6686729,4
SYBU,True,0.006384143681916106,1.3590596037605758,0.71272224,4
LINC01609,True,0.024152824039957135,1.3841110311195135,0.7854187,3
TRPS1,True,1.7211125355599293,2.216849947971959,1.0269914,3
SLC30A8,True,0.011816761648813106,1.5453248979104484,1.2708764,6
EXT1,True,1.2721726361020318,2.2704783859848177,1.8500888,7
SAMD12,True,0.48432605506677895,2.171820388216615,2.6609702,10
AC023590.1,True,0.15368358940703458,2.318262027472231,3.3267806,9
SAMD12-AS1,True,0.016544959241316035,1.4516747973651891,0.976082,3
