names,scores,logfoldchanges,pvals,pvals_adj
WARS,26.16836,0.75923496,6.092314668708972e-151,1.7285644123210628e-148
PLEK,26.121399,0.6081924,2.0834460179698053e-150,5.865862131054834e-148
USP32,26.120619,0.5400929,2.1263343454439684e-150,5.940913234930892e-148
PTPRJ,26.070076,0.43415093,7.966937105598685e-150,2.2090747348637686e-147
LYZ,26.038538,0.5272885,1.814179119121947e-149,4.9925390931565705e-147
ASAP1,26.014975,0.45057845,3.352719327227366e-149,9.157677619093196e-147
PLXNC1,26.00457,0.5946411,4.39647380486362e-149,1.1919654646800989e-146
DUSP1,25.939758,0.5587821,2.3726382127849446e-148,6.385362590157482e-146
FBXL5,25.925388,0.46249038,3.4459277628924976e-148,9.206160733549511e-146
VSIR,25.906738,0.54276633,5.591589520687832e-148,1.483027304686198e-145
FOS,25.876549,0.664269,1.2232534279028455e-147,3.2210286845087806e-145
SYK,25.874376,0.539905,1.294053920973268e-147,3.383119111538756e-145
SPI1,25.863115,0.7078044,1.7324564869016992e-147,4.4971375799353965e-145
TCF7L2,25.471603,0.80385005,4.0694383055648224e-143,1.0272104235998487e-140
POU2F2,25.449326,0.53311086,7.182026759696816e-143,1.8004750782990624e-140
IQGAP1,25.439707,0.39321354,9.176659558972803e-143,2.2848633776732213e-140
RTN1,25.434017,0.9341702,1.0608139096111716e-142,2.6234358044377364e-140
STAT2,25.403805,0.8796965,2.2891495486298754e-142,5.623165277141079e-140
DAPK1,25.357698,0.8523176,7.39057681736728e-142,1.803350013949732e-139
LRP1,25.348999,0.7796631,9.217745334925256e-142,2.234296006646353e-139
EMILIN2,25.341085,0.6176703,1.1268253163503084e-141,2.7133508818248446e-139
ACER3,25.227869,0.6226935,1.981598086525445e-140,4.740422978099203e-138
FGR,25.167755,0.6230884,9.034582666264208e-140,2.1472387023891964e-137
C9orf72,25.154821,0.55300987,1.2515542953988233e-139,2.955363791347892e-137
ADAMTSL4-AS1,25.100441,0.5830297,4.9185523165276316e-139,1.1466492569250181e-136
STK17B,24.832539,0.33726528,3.992916724224725e-136,9.191493397694917e-134
NEDD9,24.780334,0.4748213,1.460876245135525e-135,3.3418457155128344e-133
TNS3,24.728868,0.73430115,5.2337323825549186e-135,1.1898126641856682e-132
ADGRE2,24.682241,0.7448219,1.6592846822365233e-134,3.748856707070308e-132
IFI30,24.671135,0.71443737,2.183383754446376e-134,4.9027011531590065e-132
KIF13A,24.602953,0.61664975,1.1745157804684237e-133,2.605360732177259e-131
FGL2,24.483232,0.6512558,2.2287540798267333e-132,4.8847082680082794e-130
PIK3AP1,24.357986,0.66058093,4.770942965068536e-131,1.0332620323341626e-128
PARP9,24.333452,0.8946926,8.678889327257163e-131,1.868564872158467e-128
S100A9,24.25095,0.4765342,6.461458879629573e-130,1.3749759096123373e-127
MS4A6A,24.198595,0.8293736,2.3018187216694897e-129,4.869876707041907e-127
TMEM170B,24.158236,0.66333187,6.11764194961313e-129,1.2794960742730867e-126
HDAC9,24.053223,0.6103783,7.724091266892688e-128,1.5972286127657587e-125
JARID2,24.031322,0.41196558,1.3089137255883306e-127,2.6914354646212636e-125
UBE2W,23.92609,0.47272348,1.639421255615339e-126,3.352204322724973e-124
FRMD4B,23.752182,0.8495663,1.043148090260621e-124,2.1094068094822646e-122
MXD1,23.74484,0.57212496,1.2422043059120666e-124,2.498127461576239e-122
GLT1D1,23.74032,0.7439483,1.383197012253463e-124,2.766469609043115e-122
RAB31,23.735882,0.55476856,1.5372124212205916e-124,3.0577995559290696e-122
LCP2,23.642805,0.4202758,1.399672656888967e-123,2.7691577791780048e-121
CD86,23.502497,0.69417906,3.84587766006921e-122,7.567901518074901e-120
PRAM1,23.485743,0.8275467,5.704965370243414e-122,1.1166173129212791e-119
FRY,23.476357,0.49505463,7.114514787654419e-122,1.3850976369305288e-119
ZMIZ1,23.458267,0.60850286,1.0885206322461544e-121,2.1079864370815607e-119
NT5C2,23.455006,0.39292687,1.175241133274299e-121,2.2639474062617167e-119
ZNF710,23.44412,0.677563,1.517689663004231e-121,2.90832247935172e-119
ARRB1,23.28432,0.63529307,6.391616639903798e-120,1.218435211651661e-117
TNFAIP2,23.248201,0.72230166,1.4833927898584439e-119,2.7986422423509743e-117
UTRN,23.234879,0.27998343,2.022884766742932e-119,3.796902838336311e-117
TENT5A,23.1851,0.6335366,6.43667506740889e-119,1.2019833884807795e-116
MCL1,23.157354,0.418724,1.2257392463789275e-118,2.2773239673459456e-116
WDFY2,23.130678,0.41893494,2.275251207066434e-118,4.205882294436291e-116
ZNF106,22.990894,0.5010713,5.7492589529362306e-117,1.0469085917234775e-114
ADGRE5,22.93708,0.48532578,1.9829518352754647e-116,3.5929712932137266e-114
ITGAX,22.881353,0.6110535,7.125530751560814e-116,1.2847367046200853e-113
MICAL2,22.741623,0.615743,1.736850734802366e-114,3.1161996933579118e-112
SERPINA1,22.72963,0.7361969,2.2824992715721706e-114,4.0752076018933178e-112
TET3,22.689793,0.4708593,5.65031307895514e-114,1.0039180048681413e-111
USP15,22.670128,0.24212918,8.833833662710026e-114,1.5619668883519307e-111
USP25,22.626665,0.33576334,2.368544906019419e-113,4.1678419281354215e-111
FYB1,22.589857,0.37397495,5.452363224865707e-113,9.548418487718171e-111
ASAH1,22.507769,0.52378255,3.4836181384516823e-112,6.071614642165239e-110
ACAP2,22.49379,0.32903296,4.774230680764327e-112,8.281593229699296e-110
ST8SIA4,22.437096,0.43810603,1.710574649110998e-111,2.953242581703379e-109
HRH2,22.39625,0.84052014,4.281351084304161e-111,7.356888781061812e-109
SPIDR,22.333866,0.37202764,1.7327248596661284e-110,2.963526289188783e-108
DENND5A,22.325483,0.47575566,2.0901559426256958e-110,3.558223146792702e-108
PTK2B,22.250504,0.3969664,1.1153314120254076e-109,1.889918750534349e-107
FTL,22.221212,0.4311619,2.14209546860565e-109,3.6130339284071605e-107
ZFHX3,22.181978,0.64274997,5.127340179026347e-109,8.6085219216763e-107
TAOK3,22.139568,0.32407528,1.3148753262924144e-108,2.197522914046971e-106
TPM3,22.126722,0.38183483,1.7483365853299727e-108,2.9086757890755605e-106
H2AFY,22.11896,0.40647405,2.076638720097132e-108,3.439233203360866e-106
AHNAK,22.0256,0.3452003,1.637243008361435e-107,2.6993122229295896e-105
PRKAG2,22.01161,0.39626563,2.2293524416194844e-107,3.659037162139675e-105
STK10,21.965136,0.32652208,6.207211388664876e-107,1.014241714448764e-104
CCDC88A,21.91375,0.4778692,1.9209627383497244e-106,3.1248514305039226e-104
LILRB2,21.864906,0.9339428,5.607965759946808e-106,9.082174990257218e-104
LPCAT2,21.835629,0.841872,1.0646845032816676e-105,1.7166747799388684e-103
VCL,21.82504,0.48594108,1.3421650200030906e-105,2.154586925312856e-103
EXT1,21.795012,0.49332345,2.5873259027622625e-105,4.135315081528453e-103
