names,scores,logfoldchanges,pvals,pvals_adj,-log10_padj,significant
CTSB,20.699482,0.5462543,3.5011910554393976e-95,4.817559918050278e-93,92.31717287513295,True
DYSF,20.646183,1.0554951,1.05644086171135e-94,1.4427907455036239e-92,91.84079665204095,True
CSF2RA,20.60126,0.6693917,2.674040849326043e-94,3.6383854693748144e-92,91.43909129143138,True
RTN3,20.600735,0.5806043,2.703094061254893e-94,3.6642942865181614e-92,91.43600965457881,True
SLC24A4,20.571299,0.8304206,4.961948112926674e-94,6.652463841803267e-92,91.17701747729487,True
AP1S2,20.501457,0.55402213,2.089399408937988e-93,2.7708010060340325e-91,90.55739466334971,True
SAMD9L,20.489414,0.8821723,2.675901539734624e-93,3.5357643413655944e-91,90.45151668841437,True
ZNF438,20.481195,0.59598637,3.16786696935745e-93,4.170758954872376e-91,90.3797849090738,True
IRF7,20.436806,4.1087713,7.872690117787149e-93,1.025438900359884e-90,89.98909021147998,True
UBE2D1,20.310572,0.61715186,1.0369173864469764e-91,1.3270004636834189e-89,88.8771289253834,True
APOL6,20.283133,0.502653,1.8121808411899518e-91,2.311067281128691e-89,88.63618741090445,True
ALOX5,20.207497,0.5764194,8.410800952571222e-91,1.0578822187802724e-88,87.97556268256665,True
EPB41L3,20.165632,0.6936302,1.9622138395865353e-90,2.4428227463505703e-88,87.61210804472312,True
AC022217.3,20.1597,0.5125602,2.212153746552989e-90,2.744645399240202e-88,87.56151375726165,True
PSTPIP2,20.104805,0.5900228,6.698446409051446e-90,8.254876667262357e-88,87.08328941096903,True
KSR1,20.086794,0.64729524,9.62836457101359e-90,1.178621309911935e-87,86.92862571096401,True
SPECC1,20.060232,0.68615437,1.6431645908927846e-89,1.9980553884141795e-87,86.6993924767961,True
ATP8B4,20.045752,0.7064695,2.1983642851206642e-89,2.6643156026391205e-87,86.57441433191678,True
LAP3,20.004776,0.8045606,5.0043411274009656e-89,6.02512794750009e-87,86.22003372613014,True
RASSF2,19.972399,0.5098737,9.57448532398141e-89,1.1414844864594251e-86,85.94252998648723,True
CD300E,19.937843,0.73464495,1.911273727945216e-88,2.2712509648221706e-86,85.64373487519657,True
BCL6,19.899675,0.5401016,4.095796037721503e-88,4.8358138960207975e-86,85.31553042110457,True
TYROBP,19.832218,0.54691947,1.5696293786327287e-87,1.8413463104915545e-85,84.73486452404822,True
PPM1L,19.816872,0.5103568,2.129399842993076e-87,2.4900371774245864e-85,84.60379416863526,True
FCER1G,19.719772,0.64561796,1.4588454228801466e-86,1.6843912089222788e-84,83.77355703389064,True
SH3BP2,19.713482,0.53832245,1.651999635385589e-86,1.901410020589558e-84,83.72092422165184,True
CTNNA1,19.62306,0.5771231,9.825800515580726e-86,1.1168761635738204e-83,82.9519949776973,True
CDC42EP3,19.61735,0.52084,1.0993737763331484e-85,1.2457640739185626e-83,82.90456419772251,True
PDLIM5,19.61166,0.51017034,1.2295480467685677e-85,1.3889718536968006e-83,82.85730655477212,True
RNF24,19.593107,0.5518431,1.7705060186213057e-85,1.993916639617182e-83,82.70029300234886,True
OAS3,19.550364,1.8247449,4.095847639213568e-85,4.5704914464285306e-83,82.34003709949319,True
OSCAR,19.544971,0.9278421,4.552543396297062e-85,5.064669934585677e-83,82.29544885242787,True
RGS2,19.3619,0.52827173,1.618075709801397e-83,1.7625949123345515e-81,80.75384748778716,True
SCO2,19.350857,1.1263599,2.0048119085503613e-83,2.1773923045950077e-81,80.66206331630963,True
DUSP6,19.321035,0.7168303,3.5740604525834386e-83,3.8588255641594813e-81,80.41354485300032,True
MIDN,19.248272,0.512648,1.4595178615153256e-82,1.566563438396552e-80,79.80505201355743,True
