Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Notch-HLH Transcription Pathway R-HSA-350054,2/28,0.008596207471144,0.0574672388348701,0,0,15.599686028257455,74.19887958363982,NOTCH2;MAML3
Reactome_2022,Toll-like Receptor Cascades R-HSA-168898,4/162,0.0089100918494989,0.0584826028667109,0,0,5.206223628691983,24.576346870058785,IRAK3;CD36;CTSS;TLR2
Reactome_2022,TNFs Bind Their Physiological Receptors R-HSA-5669034,2/29,0.0092030974751143,0.0593271105092193,0,0,15.02116402116402,70.4224490277819,TNFRSF1B;TNFSF13B
Reactome_2022,RAC2 GTPase Cycle R-HSA-9013404,3/87,0.0094911203717816,0.0601104290212838,0,0,7.296023564064801,33.980490043633495,NCF2;CYBB;ARHGAP26
Reactome_2022,RAB GEFs Exchange GTP For GDP On RABs R-HSA-8876198,3/89,0.0100963507773187,0.0617759767900349,0,0,7.1256293454807,32.74640846917216,DENND1A;SBF2;RIN2
Reactome_2022,Interferon Gamma Signaling R-HSA-877300,3/89,0.0100963507773187,0.0617759767900349,0,0,7.1256293454807,32.74640846917216,STAT1;TRIM25;JAK2
Reactome_2022,Diseases Associated With TLR Signaling Cascade R-HSA-5602358,2/31,0.0104724512850622,0.0619763100640568,0,0,13.983814215341308,63.75230908786907,CD36;TLR2
Reactome_2022,Nicotinate Metabolism R-HSA-196807,2/31,0.0104724512850622,0.0619763100640568,0,0,13.983814215341308,63.75230908786907,NAMPT;PARP14
Reactome_2022,Termination Of Translesion DNA Synthesis R-HSA-5656169,2/32,0.0111345221222248,0.0638025791448124,0,0,13.517006802721088,60.79550767481704,TRIM25;ISG15
Reactome_2022,Signaling By NOTCH2 R-HSA-1980145,2/32,0.0111345221222248,0.0638025791448124,0,0,13.517006802721088,60.79550767481704,NOTCH2;MAML3
Reactome_2022,Detoxification Of Reactive Oxygen Species R-HSA-3299685,2/34,0.0125124802245355,0.0705782087665209,0,0,12.67091836734694,55.51165721021778,NCF2;CYBB
Reactome_2022,Negative Regulators Of DDX58/IFIH1 Signaling R-HSA-936440,2/35,0.0132279832722483,0.0734661840197177,0,0,12.286332714904145,53.14355844722063,TRIM25;ISG15
Reactome_2022,Signaling By Rho GTPases R-HSA-194315,8/644,0.0154204646507677,0.0843452687716235,0,0,2.633852884878316,10.988591682978482,CPNE8;DOCK5;FGD4;NCF2;EPSTI1;CYBB;SRGAP2;ARHGAP26
